date,open,high,low,close,volume
2025-01-02,2633.0,2663.10009765625,2633.0,2658.89990234375,1728
2025-01-03,2658.699951171875,2658.699951171875,2641.800048828125,2645.0,591
2025-01-06,2645.5,2647.0,2617.300048828125,2638.39990234375,960
2025-01-07,2653.39990234375,2657.5,2653.0,2656.699951171875,643
2025-01-08,2655.5,2676.89990234375,2653.5,2664.5,999
2025-01-09,2669.699951171875,2686.300048828125,2667.89990234375,2683.800048828125,1139
2025-01-10,2686.10009765625,2720.10009765625,2683.699951171875,2708.5,403
2025-01-13,2711.10009765625,2711.199951171875,2673.5,2673.5,765
2025-01-14,2673.60009765625,2688.300048828125,2670.800048828125,2677.5,794
2025-01-15,2690.800048828125,2712.5,2690.800048828125,2712.5,930
2025-01-16,2731.699951171875,2749.800048828125,2731.699951171875,2746.39990234375,1721
2025-01-17,2736.0,2751.60009765625,2725.5,2744.300048828125,1214
2025-01-21,2746.0,2755.0,2724.800048828125,2755.0,1439
2025-01-22,2754.5,2768.800048828125,2753.5,2767.60009765625,2079
2025-01-23,2760.0,2765.0,2745.39990234375,2763.10009765625,2201
2025-01-24,2759.800048828125,2792.0,2759.800048828125,2777.300048828125,1593
2025-01-27,2761.10009765625,2762.199951171875,2737.5,2737.5,984
2025-01-28,2738.0,2766.800048828125,2738.0,2766.800048828125,2307
2025-01-29,2769.10009765625,2769.10009765625,2769.10009765625,2769.10009765625,125692
2025-01-30,2772.5,2829.5,2770.0,2823.0,40141
2025-01-31,2829.0,2838.0,2804.0,2812.5,3443
2025-02-03,2818.199951171875,2848.39990234375,2780.89990234375,2833.89990234375,2649
2025-02-04,2827.60009765625,2853.300048828125,2816.10009765625,2853.300048828125,2187
2025-02-05,2850.0,2880.5,2848.0,2871.60009765625,4519
2025-02-06,2865.199951171875,2871.699951171875,2836.300048828125,2856.0,3116
2025-02-07,2859.89990234375,2889.5,2857.800048828125,2867.300048828125,1822
2025-02-10,2864.199951171875,2916.10009765625,2863.800048828125,2914.300048828125,2237
2025-02-11,2925.5,2945.39990234375,2890.0,2912.5,2554
2025-02-12,2902.0,2912.300048828125,2868.60009765625,2909.0,2504
2025-02-13,2911.300048828125,2937.699951171875,2910.60009765625,2925.89990234375,4670
2025-02-14,2937.300048828125,2944.39990234375,2874.800048828125,2883.60009765625,1992
2025-02-18,2879.199951171875,2936.39990234375,2873.800048828125,2931.60009765625,4010
2025-02-19,2938.699951171875,2946.0,2917.10009765625,2919.39990234375,2630
2025-02-20,2949.10009765625,2955.800048828125,2924.199951171875,2940.0,656
2025-02-21,2938.800048828125,2940.0,2917.300048828125,2937.60009765625,570
2025-02-24,2933.10009765625,2957.89990234375,2933.10009765625,2947.89990234375,415
2025-02-25,2938.699951171875,2943.199951171875,2890.0,2904.5,1854
2025-02-26,2913.5,2917.0,2913.0,2916.800048828125,2050
2025-02-27,2918.5,2922.800048828125,2870.39990234375,2883.199951171875,3215
2025-02-28,2877.10009765625,2877.10009765625,2834.10009765625,2836.800048828125,990
2025-03-03,2872.699951171875,2891.800048828125,2863.39990234375,2890.199951171875,423
2025-03-04,2886.10009765625,2927.89990234375,2886.10009765625,2909.60009765625,885
2025-03-05,2916.699951171875,2922.0,2893.0,2915.300048828125,551
2025-03-06,2904.0,2918.60009765625,2903.800048828125,2916.60009765625,870
2025-03-07,2900.89990234375,2927.300048828125,2900.5,2904.699951171875,531
2025-03-10,2910.10009765625,2915.10009765625,2880.199951171875,2891.0,55
2025-03-11,2884.39990234375,2916.699951171875,2880.39990234375,2912.89990234375,197
2025-03-12,2912.0,2939.10009765625,2910.0,2939.10009765625,213
2025-03-13,2937.10009765625,2988.0,2935.199951171875,2984.300048828125,2366
2025-03-14,2994.39990234375,3004.800048828125,2986.0,2994.5,1800
2025-03-17,2991.0,3001.5,2989.0,3000.0,214
